#DescID	MeSH	CompStatus	TGSize	TG+	TG-	T+uniq	Common	B+uniq	BG+	BG-	BGSize	TG-Ratio	BG-Ratio	TG-R/BG-R	P-value
7140	Huntington Disease	1	172	6	166	6	0	3	3	165	168	0.03	0.02	2.0	5.022e-01
1529	Animals	1	172	104	68	99	5	90	95	73	168	0.60	0.57	1.1	5.093e-01
1577	Mice, Transgenic	1	172	20	152	20	0	24	24	144	168	0.12	0.14	0.8	5.197e-01
718	Spinal Cord	1	172	27	145	26	1	30	31	137	168	0.16	0.18	0.9	5.648e-01
1901	Rats, Sprague-Dawley	1	172	8	164	8	0	5	5	163	168	0.05	0.03	1.6	5.738e-01
18407	Microdissection	1	172	1	171	1	0	2	2	166	168	0.01	0.01	0.5	6.195e-01
13527	Caspase 1	1	172	1	171	1	0	2	2	166	168	0.01	0.01	0.5	6.195e-01
1888	Mice, Neurologic Mutants	1	172	1	171	1	0	2	2	166	168	0.01	0.01	0.5	6.195e-01
21462	Macrophage Activation	1	172	1	171	0	1	1	2	166	168	0.01	0.01	0.5	6.195e-01
7377	Spinal Cord Diseases	1	172	1	171	1	0	2	2	166	168	0.01	0.01	0.5	6.195e-01
13522	Caspase 3	1	172	1	171	1	0	2	2	166	168	0.01	0.01	0.5	6.195e-01
22155	Drug Design	1	172	1	171	1	0	2	2	166	168	0.01	0.01	0.5	6.195e-01
7232	Brain Ischemia	1	172	1	171	1	0	2	2	166	168	0.01	0.01	0.5	6.195e-01
21961	Sex Characteristics	1	172	1	171	1	0	2	2	166	168	0.01	0.01	0.5	6.195e-01
21558	Enzyme Induction	1	172	1	171	1	0	2	2	166	168	0.01	0.01	0.5	6.195e-01
20596	Psychomotor Performance	1	172	1	171	1	0	2	2	166	168	0.01	0.01	0.5	6.195e-01
19558	Statistics, Nonparametric	1	172	1	171	1	0	2	2	166	168	0.01	0.01	0.5	6.195e-01
21355	Cell Division	1	172	1	171	1	0	2	2	166	168	0.01	0.01	0.5	6.195e-01
18608	Drug Therapy, Combination	1	172	1	171	1	0	2	2	166	168	0.01	0.01	0.5	6.195e-01
19522	Analysis of Variance	1	172	1	171	1	0	2	2	166	168	0.01	0.01	0.5	6.195e-01
11425	Acetylcysteine	1	172	3	169	3	0	1	1	167	168	0.02	0.01	2.9	6.229e-01
12791	Proteasome Endopeptidase Complex	1	172	3	169	3	0	1	1	167	168	0.02	0.01	2.9	6.229e-01
13517	Cysteine Endopeptidases	1	172	3	169	3	0	1	1	167	168	0.02	0.01	2.9	6.229e-01
12775	Multienzyme Complexes	1	172	3	169	3	0	1	1	167	168	0.02	0.01	2.9	6.229e-01
1269	Cytosol	1	172	3	169	3	0	1	1	167	168	0.02	0.01	2.9	6.229e-01
21607	Binding Sites	1	172	3	169	3	0	1	1	167	168	0.02	0.01	2.9	6.229e-01
7378	Amyotrophic Lateral Sclerosis	1	172	89	83	88	1	90	91	77	168	0.52	0.54	1.0	6.653e-01
7456	Neurodegenerative Diseases	1	172	32	140	28	4	24	28	140	168	0.19	0.17	1.1	6.714e-01
10944	Minocycline	1	172	2	170	2	0	3	3	165	168	0.01	0.02	0.7	6.820e-01
21344	Cell Communication	1	172	2	170	2	0	3	3	165	168	0.01	0.02	0.7	6.820e-01
1576	Animals, Genetically Modified	1	172	4	168	4	0	2	2	166	168	0.02	0.01	2.0	6.848e-01
1837	Humans	1	172	132	40	127	5	127	132	36	168	0.77	0.79	1.0	6.983e-01
17572	Excitatory Amino Acid Antagonists	1	172	5	167	5	0	3	3	165	168	0.03	0.02	1.6	7.234e-01
15336	Proteins	1	172	5	167	5	0	3	3	165	168	0.03	0.02	1.6	7.234e-01
22574	Time Factors	1	172	4	168	4	0	5	5	163	168	0.02	0.03	0.8	7.481e-01
22547	Models, Neurological	1	172	6	166	6	0	4	4	164	168	0.03	0.02	1.5	7.504e-01
21543	Gene Expression Regulation	1	172	6	166	5	1	6	7	161	168	0.03	0.04	0.8	7.843e-01
22154	Dose-Response Relationship, Drug	1	172	9	163	9	0	7	7	161	168	0.05	0.04	1.3	7.991e-01
21412	Cell Survival	1	172	11	161	11	0	9	9	159	168	0.06	0.05	1.2	8.187e-01
594	Brain	1	172	21	151	20	1	18	19	149	168	0.12	0.11	1.1	8.670e-01
1884	Mice	1	172	38	134	37	1	35	36	132	168	0.22	0.21	1.0	8.962e-01
9188	Nerve Degeneration	1	172	15	157	15	0	15	15	153	168	0.09	0.09	1.0	1.000e+00
752	Astrocytes	1	172	9	163	9	0	9	9	159	168	0.05	0.05	1.0	1.000e+00
21350	Signal Transduction	1	172	10	162	10	0	9	9	159	168	0.06	0.05	1.1	1.000e+00
19344	Coculture Techniques	1	172	4	168	4	0	4	4	164	168	0.02	0.02	1.0	1.000e+00
1578	Mice, Knockout	1	172	6	166	6	0	5	5	163	168	0.03	0.03	1.2	1.000e+00
15352	Amyloid beta-Protein Precursor	1	172	3	169	3	0	2	2	166	168	0.02	0.01	1.5	1.000e+00
13520	Caspases	1	172	4	168	4	0	4	4	164	168	0.02	0.02	1.0	1.000e+00
16685	Metallothionein	1	172	3	169	3	0	2	2	166	168	0.02	0.01	1.5	1.000e+00
19352	Cell Count	1	172	5	167	5	0	5	5	163	168	0.03	0.03	1.0	1.000e+00
17372	Biological Markers	1	172	6	166	6	0	5	5	163	168	0.03	0.03	1.2	1.000e+00
22152	Cytoprotection	1	172	2	170	2	0	1	1	167	168	0.01	0.01	2.0	1.000e+00
16885	Thioredoxins	1	172	2	170	1	1	0	1	167	168	0.01	0.01	2.0	1.000e+00
4915	Cycas	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
21530	DNA Breaks, Single-Stranded	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
13893	NADPH Oxidase	1	172	2	170	1	1	1	2	166	168	0.01	0.01	1.0	1.000e+00
19237	Capillary Electrochromatography	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
7359	Gerstmann-Straussler-Scheinker Disease	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
14762	Erucic Acids	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
14900	Tyrosine	1	172	3	169	3	0	2	2	166	168	0.02	0.01	1.5	1.000e+00
21845	Longevity	1	172	2	170	1	1	1	2	166	168	0.01	0.01	1.0	1.000e+00
13639	Immunophilins	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
13885	Apoptosis Inducing Factor	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
13322	Deoxyribonuclease IV (Phage T4-Induced)	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
15155	Apoptotic Protease-Activating Factor 1	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
