#GOID	GOTerm	t-total	t+	t-	b+	b-	b-total	p-value	t-ratio	b-ratio	(t-ratio)/(b-ratio)
GO:0045950	negative regulation of mitotic recombination	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0046632	alpha\-beta T cell differentiation	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0046641	positive regulation of alpha\-beta T cell proliferation	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0051098	regulation of binding	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0000085	G2 phase of mitotic cell cycle	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0031572	G2/M transition DNA damage checkpoint	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0051782	negative regulation of cell division	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0006066	alcohol metabolic process	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0009187	cyclic nucleotide metabolic process	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0051106	positive regulation of DNA ligation	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0000183	chromatin silencing at rDNA	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0006348	chromatin silencing at telomere	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0006980	redox signal response	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0007096	regulation of exit from mitosis	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0006266	DNA ligation	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0043043	peptide biosynthetic process	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0007016	cytoskeletal anchoring	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0001953	negative regulation of cell\-matrix adhesion	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0002328	pro\-B cell differentiation	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0033077	T cell differentiation in the thymus	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
