#Level	GOID	GOTerm	t-total	t+	t-	b+	b-	b-total	p-value	t-ratio	b-ratio	(t-ratio)/(b-ratio)
Level4	GO:0016645	oxidoreductase activity\, acting on the CH\-NH group of donors	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level4	GO:0005070	SH3/SH2 adaptor activity	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level4	GO:0005501	retinoid binding	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level4	GO:0017077	oxidative phosphorylation uncoupler activity	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level4	GO:0016679	oxidoreductase activity\, acting on diphenols and related substances as donors	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level4	GO:0043027	caspase inhibitor activity	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0046982	protein heterodimerization activity	399	12	387	18	537	555	1.000e+00	0.03	0.03	0.9
Level5	GO:0015631	tubulin binding	399	5	394	7	548	555	1.000e+00	0.01	0.01	1.0
Level5	GO:0009982	pseudouridine synthase activity	399	4	395	5	550	555	1.000e+00	0.01	0.01	1.1
Level5	GO:0008603	cAMP\-dependent protein kinase regulator activity	399	3	396	4	551	555	1.000e+00	0.01	0.01	1.0
Level5	GO:0004860	protein kinase inhibitor activity	399	3	396	4	551	555	1.000e+00	0.01	0.01	1.0
Level5	GO:0017124	SH3 domain binding	399	3	396	4	551	555	1.000e+00	0.01	0.01	1.0
Level5	GO:0016779	nucleotidyltransferase activity	399	3	396	4	551	555	1.000e+00	0.01	0.01	1.0
Level5	GO:0042287	MHC protein binding	399	3	396	4	551	555	1.000e+00	0.01	0.01	1.0
Level5	GO:0015144	carbohydrate transmembrane transporter activity	399	2	397	2	553	555	1.000e+00	0.01	0.00	1.4
Level5	GO:0051537	2 iron\, 2 sulfur cluster binding	399	2	397	2	553	555	1.000e+00	0.01	0.00	1.4
Level5	GO:0004392	heme oxygenase (decyclizing) activity	399	2	397	2	553	555	1.000e+00	0.01	0.00	1.4
Level5	GO:0015248	sterol transporter activity	399	2	397	3	552	555	1.000e+00	0.01	0.01	0.9
Level5	GO:0016620	oxidoreductase activity\, acting on the aldehyde or oxo group of donors\, NAD or NADP as acceptor	399	2	397	2	553	555	1.000e+00	0.01	0.00	1.4
Level5	GO:0030508	thiol\-disulfide exchange intermediate activity	399	2	397	2	553	555	1.000e+00	0.01	0.00	1.4
Level5	GO:0003916	DNA topoisomerase activity	399	2	397	2	553	555	1.000e+00	0.01	0.00	1.4
Level5	GO:0051020	GTPase binding	399	2	397	3	552	555	1.000e+00	0.01	0.01	0.9
Level5	GO:0004129	cytochrome\-c oxidase activity	399	2	397	4	551	555	1.000e+00	0.01	0.01	0.7
Level5	GO:0016676	oxidoreductase activity\, acting on heme group of donors\, oxygen as acceptor	399	2	397	4	551	555	1.000e+00	0.01	0.01	0.7
Level5	GO:0004364	glutathione transferase activity	399	2	397	3	552	555	1.000e+00	0.01	0.01	0.9
Level5	GO:0030552	cAMP binding	399	2	397	2	553	555	1.000e+00	0.01	0.00	1.4
Level5	GO:0004553	hydrolase activity\, hydrolyzing O\-glycosyl compounds	399	2	397	2	553	555	1.000e+00	0.01	0.00	1.4
Level5	GO:0030911	TPR domain binding	399	2	397	2	553	555	1.000e+00	0.01	0.00	1.4
Level5	GO:0016864	intramolecular oxidoreductase activity\, transposing S\-S bonds	399	2	397	2	553	555	1.000e+00	0.01	0.00	1.4
Level5	GO:0042169	SH2 domain binding	399	2	397	3	552	555	1.000e+00	0.01	0.01	0.9
Level5	GO:0033130	acetylcholine receptor binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0002020	protease binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0045309	protein phosphorylated amino acid binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0034187	apolipoprotein E binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0016726	oxidoreductase activity\, acting on CH or CH2 groups\, NAD or NADP as acceptor	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0016727	oxidoreductase activity\, acting on CH or CH2 groups\, oxygen as acceptor	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0034190	apolipoprotein receptor binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
