#DescID	MeSH	CorpusSize	t+	t-	b+	b-	WholeSize	t-Ratio	b-Ratio	t-ratio/b-ratio	P-value
19645	Transfection	172	7	165	98657	17662000	17760657	0.04	0.01	7.3	5.735e-05
9643	Metals	172	4	168	21913	17738744	17760657	0.02	0.00	18.8	6.918e-05
19352	Cell Count	172	5	167	45178	17715479	17760657	0.03	0.00	11.4	8.858e-05
12791	Proteasome Endopeptidase Complex	172	3	169	8585	17752072	17760657	0.02	0.00	36.1	8.859e-05
9669	Peroxynitrous Acid	172	2	170	1573	17759084	17760657	0.01	0.00	131.3	1.144e-04
23522	Adolescent	172	1	171	1229525	16531132	17760657	0.01	0.07	0.1	1.181e-04
15351	Amyloid beta-Protein	172	3	169	9802	17750855	17760657	0.02	0.00	31.6	1.307e-04
17372	Biological Markers	172	6	166	80764	17679893	17760657	0.03	0.00	7.7	1.530e-04
13106	Cytochrome c Group	172	3	169	10854	17749803	17760657	0.02	0.00	28.5	1.761e-04
22152	Cytoprotection	172	2	170	2033	17758624	17760657	0.01	0.00	101.6	1.905e-04
13987	Nitric Oxide Synthase	172	4	168	28683	17731974	17760657	0.02	0.00	14.4	1.930e-04
9125	Disease Progression	172	5	167	53933	17706724	17760657	0.03	0.00	9.6	2.007e-04
11803	alpha-Amino-3-hydroxy-5-methyl-4-isoxazolepropionic Acid	172	2	170	2091	17758566	17760657	0.01	0.00	98.8	2.014e-04
10632	Ethacrynic Acid	172	2	170	2091	17758566	17760657	0.01	0.00	98.8	2.014e-04
1072	Cell Line, Tumor	172	5	167	54977	17705680	17760657	0.03	0.00	9.4	2.191e-04
12276	Melatonin	172	3	169	11726	17748931	17760657	0.02	0.00	26.4	2.207e-04
13517	Cysteine Endopeptidases	172	3	169	11856	17748801	17760657	0.02	0.00	26.1	2.279e-04
10701	Phenylhydrazines	172	2	170	2244	17758413	17760657	0.01	0.00	92.0	2.317e-04
1901	Rats, Sprague-Dawley	172	8	164	174228	17586429	17760657	0.05	0.01	4.7	3.331e-04
10944	Minocycline	172	2	170	2708	17757949	17760657	0.01	0.00	76.3	3.364e-04
12779	Electron Transport Complex IV	172	3	169	13653	17747004	17760657	0.02	0.00	22.7	3.437e-04
16885	Thioredoxins	172	2	170	2797	17757860	17760657	0.01	0.00	73.8	3.587e-04
4915	Cycas	172	1	171	45	17760612	17760657	0.01	0.00	2294.7	4.454e-04
21838	Membrane Potentials	172	5	167	64969	17695688	17760657	0.03	0.00	7.9	4.672e-04
12775	Multienzyme Complexes	172	3	169	15200	17745457	17760657	0.02	0.00	20.4	4.690e-04
21745	Electron Transport	172	3	169	16176	17744481	17760657	0.02	0.00	19.2	5.614e-04
592	Nervous System	172	3	169	16544	17744113	17760657	0.02	0.00	18.7	5.990e-04
13107	Cytochromes c	172	2	170	4168	17756489	17760657	0.01	0.00	49.5	7.892e-04
21543	Gene Expression Regulation	172	6	166	111072	17649585	17760657	0.03	0.01	5.6	8.143e-04
21612	Brain Chemistry	172	4	168	43601	17717056	17760657	0.02	0.00	9.5	9.214e-04
1069	Cell Line	172	9	163	255037	17505620	17760657	0.05	0.01	3.6	9.378e-04
17590	Nitric Oxide Donors	172	2	170	4561	17756096	17760657	0.01	0.00	45.3	9.427e-04
13998	Glutathione Reductase	172	2	170	4608	17756049	17760657	0.01	0.00	44.8	9.619e-04
751	Neuroglia	172	3	169	19921	17740736	17760657	0.02	0.00	15.6	1.021e-03
21530	DNA Breaks, Single-Stranded	172	1	171	114	17760543	17760657	0.01	0.00	905.8	1.113e-03
13893	NADPH Oxidase	172	2	170	4980	17755677	17760657	0.01	0.00	41.5	1.121e-03
22154	Dose-Response Relationship, Drug	172	9	163	265812	17494845	17760657	0.05	0.01	3.5	1.247e-03
9386	Hydroxyl Radical	172	2	170	5472	17755185	17760657	0.01	0.00	37.7	1.349e-03
10915	Dizocilpine Maleate	172	2	170	5723	17754934	17760657	0.01	0.00	36.1	1.473e-03
21618	Enzyme Activation	172	5	167	84501	17676156	17760657	0.03	0.00	6.1	1.495e-03
696	Cerebral Cortex	172	5	167	85868	17674789	17760657	0.03	0.00	6.0	1.603e-03
19237	Capillary Electrochromatography	172	1	171	172	17760485	17760657	0.01	0.00	600.3	1.674e-03
16830	Recombinant Proteins	172	6	166	129881	17630776	17760657	0.03	0.01	4.8	1.795e-03
9839	Dithiothreitol	172	2	170	6462	17754195	17760657	0.01	0.00	32.0	1.869e-03
12129	Kainic Acid	172	2	170	7136	17753521	17760657	0.01	0.00	28.9	2.270e-03
16799	Proteome	172	2	170	7804	17752853	17760657	0.01	0.00	26.5	2.703e-03
7359	Gerstmann-Straussler-Scheinker Disease	172	1	171	286	17760371	17760657	0.01	0.00	361.0	2.776e-03
10478	Ascorbic Acid	172	3	169	29718	17730939	17760657	0.02	0.00	10.4	3.163e-03
21878	Homeostasis	172	3	169	29789	17730868	17760657	0.02	0.00	10.4	3.184e-03
11137	Ketones	172	2	170	8613	17752044	17760657	0.01	0.00	24.0	3.275e-03
21603	Aerobiosis	172	2	170	8633	17752024	17760657	0.01	0.00	23.9	3.290e-03
22156	Drug Interactions	172	4	168	64180	17696477	17760657	0.02	0.00	6.4	3.711e-03
12823	Glial Fibrillary Acidic Protein	172	2	170	9250	17751407	17760657	0.01	0.00	22.3	3.762e-03
14762	Erucic Acids	172	1	171	404	17760253	17760657	0.01	0.00	255.6	3.914e-03
14900	Tyrosine	172	3	169	33060	17727597	17760657	0.02	0.00	9.4	4.253e-03
21845	Longevity	172	2	170	9887	17750770	17760657	0.01	0.00	20.9	4.281e-03
1269	Cytosol	172	3	169	34164	17726493	17760657	0.02	0.00	9.1	4.657e-03
13639	Immunophilins	172	1	171	487	17760170	17760657	0.01	0.00	212.0	4.715e-03
13885	Apoptosis Inducing Factor	172	1	171	522	17760135	17760657	0.01	0.00	197.8	5.052e-03
13819	Cyclooxygenase 2	172	2	170	10778	17749879	17760657	0.01	0.00	19.2	5.058e-03
1094	Hybrid Cells	172	2	170	10889	17749768	17760657	0.01	0.00	19.0	5.160e-03
13322	Deoxyribonuclease IV (Phage T4-Induced)	172	1	171	534	17760123	17760657	0.01	0.00	193.4	5.168e-03
15155	Apoptotic Protease-Activating Factor 1	172	1	171	540	17760117	17760657	0.01	0.00	191.2	5.226e-03
14954	Intercellular Signaling Peptides and Proteins	172	2	170	11120	17749537	17760657	0.01	0.00	18.6	5.373e-03
12340	Cyclic ADP-Ribose	172	1	171	560	17760097	17760657	0.01	0.00	184.4	5.418e-03
21346	Bystander Effect	172	1	171	578	17760079	17760657	0.01	0.00	178.6	5.592e-03
19334	Spin Trapping	172	1	171	579	17760078	17760657	0.01	0.00	178.3	5.601e-03
12437	Heterocyclic Compounds, 3-Ring	172	1	171	586	17760071	17760657	0.01	0.00	176.2	5.669e-03
8395	Phagocyte Bactericidal Dysfunction	172	1	171	589	17760068	17760657	0.01	0.00	175.3	5.698e-03
9695	Silver Compounds	172	1	171	595	17760062	17760657	0.01	0.00	173.5	5.755e-03
17842	Reducing Agents	172	1	171	608	17760049	17760657	0.01	0.00	169.8	5.880e-03
9518	Aluminum	172	2	170	11712	17748945	17760657	0.01	0.00	17.6	5.938e-03
15955	NF-E2-Related Factor 2	172	1	171	633	17760024	17760657	0.01	0.00	163.1	6.121e-03
7462	Bulbar Palsy, Progressive	172	1	171	635	17760022	17760657	0.01	0.00	162.6	6.140e-03
11268	S-Nitrosoglutathione	172	1	171	678	17759979	17760657	0.01	0.00	152.3	6.554e-03
8272	Reperfusion Injury	172	2	170	12464	17748193	17760657	0.01	0.00	16.6	6.693e-03
17808	Fluorescent Dyes	172	3	169	39471	17721186	17760657	0.02	0.00	7.8	6.919e-03
14910	Amino Acids, Diamino	172	1	171	719	17759938	17760657	0.01	0.00	143.6	6.949e-03
13817	Prostaglandin-Endoperoxide Synthases	172	2	170	12734	17747923	17760657	0.01	0.00	16.2	6.974e-03
12410	Clioquinol	172	1	171	723	17759934	17760657	0.01	0.00	142.8	6.987e-03
9665	Sodium Cyanide	172	1	171	760	17759897	17760657	0.01	0.00	135.9	7.343e-03
15216	X-Linked Inhibitor of Apoptosis Protein	172	1	171	776	17759881	17760657	0.01	0.00	133.1	7.497e-03
16719	Proto-Oncogene Proteins	172	3	169	40890	17719767	17760657	0.02	0.00	7.6	7.617e-03
13264	Sirtuins	172	1	171	805	17759852	17760657	0.01	0.00	128.3	7.775e-03
18371	Immunohistochemistry	172	6	166	177182	17583475	17760657	0.03	0.01	3.5	7.986e-03
9117	Disease	172	2	170	13801	17746856	17760657	0.01	0.00	15.0	8.137e-03
17503	Enzyme Activators	172	1	171	845	17759812	17760657	0.01	0.00	122.2	8.160e-03
13776	Aconitate Hydratase	172	1	171	888	17759769	17760657	0.01	0.00	116.3	8.573e-03
7129	Brain Diseases	172	3	169	42744	17717913	17760657	0.02	0.00	7.2	8.588e-03
9948	Dibucaine	172	1	171	907	17759750	17760657	0.01	0.00	113.8	8.755e-03
10515	Benzoic Acids	172	1	171	915	17759742	17760657	0.01	0.00	112.9	8.832e-03
19515	Survival Rate	172	4	168	83690	17676967	17760657	0.02	0.00	4.9	9.285e-03
1070	Cell Line, Transformed	172	2	170	14950	17745707	17760657	0.01	0.00	13.8	9.479e-03
14060	Peroxiredoxins	172	1	171	993	17759664	17760657	0.01	0.00	104.0	9.580e-03
768	Lewy Bodies	172	1	171	1001	17759656	17760657	0.01	0.00	103.2	9.657e-03
18407	Microdissection	172	1	171	1010	17759647	17760657	0.01	0.00	102.2	9.743e-03
13157	DNA-(Apurinic or Apyrimidinic Site) Lyase	172	1	171	1064	17759593	17760657	0.01	0.00	97.0	1.026e-02
9701	Zinc Sulfate	172	1	171	1107	17759550	17760657	0.01	0.00	93.3	1.067e-02
9569	Iron, Dietary	172	1	171	1145	17759512	17760657	0.01	0.00	90.2	1.104e-02
7147	Lewy Body Disease	172	1	171	1151	17759506	17760657	0.01	0.00	89.7	1.109e-02
21746	Energy Metabolism	172	3	169	47124	17713533	17760657	0.02	0.00	6.6	1.116e-02
18246	Genetic Screening	172	2	170	16599	17744058	17760657	0.01	0.00	12.4	1.156e-02
6518	Mitochondrial Myopathies	172	1	171	1214	17759443	17760657	0.01	0.00	85.1	1.170e-02
7199	Adrenoleukodystrophy	172	1	171	1215	17759442	17760657	0.01	0.00	85.0	1.171e-02
13428	Ubiquitin Thiolesterase	172	1	171	1234	17759423	17760657	0.01	0.00	83.7	1.189e-02
16620	Receptors, N-Methyl-D-Aspartate	172	2	170	16895	17743762	17760657	0.01	0.00	12.2	1.196e-02
11246	2,4-Dinitrophenol	172	1	171	1256	17759401	17760657	0.01	0.00	82.2	1.210e-02
13232	Oncogene Protein p21(ras)	172	1	171	1262	17759395	17760657	0.01	0.00	81.8	1.216e-02
15667	Amino Acid Transport System X-AG	172	1	171	1266	17759391	17760657	0.01	0.00	81.6	1.220e-02
17217	Radioactive Pollutants	172	1	171	1307	17759350	17760657	0.01	0.00	79.0	1.259e-02
11749	Xanthine	172	1	171	1314	17759343	17760657	0.01	0.00	78.6	1.265e-02
14964	Vascular Endothelial Growth Factor A	172	2	170	17404	17743253	17760657	0.01	0.00	11.9	1.265e-02
9389	Nitrates	172	2	170	17436	17743221	17760657	0.01	0.00	11.8	1.269e-02
16647	Receptor, Nerve Growth Factor	172	1	171	1326	17759331	17760657	0.01	0.00	77.9	1.277e-02
