HGNC ID	Approved Symbol	Approved Name	Locus Type
2819	DFNB13	deafness, autosomal recessive 13	phenotype only
2820	DFNB14	deafness, autosomal recessive 14	phenotype only
2821	DFNB15	deafness, autosomal recessive 15	phenotype only
2823	DFNB17	deafness, autosomal recessive 17	phenotype only
2825	DFNB19	deafness, autosomal recessive 19	phenotype only
2827	DFNB20	deafness, autosomal recessive 20	phenotype only
2831	DFNB25	deafness, autosomal recessive 25	phenotype only
2832	DFNB26	deafness, autosomal recessive 26	phenotype only
2833	DFNB27	deafness, autosomal recessive 27	phenotype only
16360	DFNB32	deafness, autosomal recessive 32	phenotype only
16359	DFNB33	deafness, autosomal recessive 33	phenotype only
17143	DFNB34	deafness, autosomal recessive 34	phenotype only
19210	DFNB38	deafness, autosomal recessive 38	phenotype only
19211	DFNB39	deafness, autosomal recessive 39	phenotype only
20408	DFNB40	deafness, autosomal recessive 40	phenotype only
20181	DFNB42	deafness, autosomal recessive 42	phenotype only
17480	DFNB43	deafness, autosomal recessive 43	phenotype only
23223	DFNB44	deafness, autosomal recessive 44	phenotype only
22400	DFNB45	deafness, autosomal recessive 45	phenotype only
31085	DFNB46	deafness, autosomal recessive 46	phenotype only
31086	DFNB47	deafness, autosomal recessive 47	phenotype only
31348	DFNB48	deafness, autosomal recessive 48	phenotype only
31380	DFNB50	deafness, autosomal recessive 50	phenotype only
24367	DFNB51	deafness, autosomal recessive 51	phenotype only
28876	DFNB55	deafness, autosomal recessive 55	phenotype only
31877	DFNB56	deafness, autosomal recessive 56	phenotype only
26774	DFNB57	deafness, autosomal recessive 57	phenotype only
18252	DFNB58	deafness, autosomal recessive 58	phenotype only
18300	DFNB60	deafness, autosomal recessive 60	phenotype only
29439	DFNB62	deafness, autosomal recessive 62	phenotype only
20963	DFNB63	deafness, autosomal recessive 63	phenotype only
28113	DFNB65	deafness, autosomal recessive 65	phenotype only
32193	DFNB66	deafness, autosomal recessive 66	phenotype only
21322	DFNB68	deafness, autosomal recessive 68	phenotype only
33121	DFNB69	deafness, autosomal recessive 69	phenotype only
33103	DFNB70	deafness, autosomal recessive 70	phenotype only
33239	DFNB72	deafness, autosomal recessive 72	phenotype only
33486	DFNB73	deafness, autosomal recessive 73	phenotype only
33490	DFNB74	deafness, autosomal recessive 74	phenotype only
33503	DFNB75	deafness, autosomal recessive 75	phenotype only
31965	DFNB77	deafness, autosomal recessive 77	phenotype only
2842	DFNM1	deafness (recessive, nonsyndromic) modifier 1	phenotype only
31866	DFNM2	deafness (mitochondrial) modifier 2	phenotype only
26547	DFNY1	deafness, Y-linked 1	phenotype only
2868	DHOF	dermal hypoplasia, focal	phenotype only
2875	DIANPH	diabetic nephropathy	phenotype only
2881	DIH1	diaphragmatic hernia 1	phenotype only
2923	DM1	dystrophia myotonica 1 (includes dystrophia myotonia protein kinase)	phenotype only
3063	DURS1	Duane retraction syndrome 1	phenotype only
13274	DURS2	Duane retraction syndrome 2	phenotype only
3088	DWS	dandy-walker syndrome	phenotype only
3102	DYT2	dystonia 2, torsion (autosomal recessive)	phenotype only
3103	DYT3	dystonia 3 (with Parkinsonism)	phenotype only
3104	DYT4	dystonia 4, torsion (autosomal dominant)	phenotype only
3106	DYT6	dystonia 6, torsion (autosomal dominant)	phenotype only
3107	DYT7	dystonia 7, torsion (autosomal dominant)	phenotype only
3101	DYT13	dystonia 13, torsion	phenotype only
31376	DYT15	dystonia 15, myoclonic	phenotype only
3108	DYX1	dyslexia susceptibility 1	phenotype only
3109	DYX2	dyslexia susceptibility 2	phenotype only
3110	DYX3	dyslexia susceptibility 3	phenotype only
3111	DYX4	dyslexia susceptibility 4	phenotype only
18343	DYX5	dyslexia susceptibility 5	phenotype only
19352	DYX6	dyslexia susceptibility 6	phenotype only
19324	DYX7	dyslexia susceptibility 7	phenotype only
19951	DYX8	dyslexia susceptibility 8	phenotype only
16755	DYX9	dyslexia susceptibility 9	phenotype only
3112	E11S	ECHO virus (serotypes 4, 6, 11, 19) sensitivity	phenotype only
3130	EBM	epidermolysis bullosa, macular type	phenotype only
3136	EBR3	epidermolysis bullosa 3, progressiva	phenotype only
3137	EBR4	epidermolysis bullosa 4, pseudojunctional (intraepidermal)	phenotype only
3144	ECA1	epilepsy, childhood absence 1	phenotype only
3186	EEC1	ectrodactyly, ectodermal dysplasia and cleft lip/palate syndrome 1	phenotype only
